model,accuracy,precision,recall,f1,roc_auc,confusion_matrix,false_positive_rate,false_negative_rate,number_of_alerts,true_alerts,false_alerts,alert_precision,estimated_time_to_detection,mitigation_delay_simulated,training_time_seconds,inference_time_seconds,final_loss,n_qubits,circuit_depth,num_parameters,cx_count,optimizer_iterations,vqc_backend,qae_status,maxcut_value,qaoa_energy,qaoa_backend,min_window_f1,recovered_f1,falqon_status,f1_degradation_under_noise,simulator
SVM-RBF,0.9888888888888888,0.9692307692307692,1.0,0.984375,0.999457332790666,"[[115, 2], [0, 63]]",0.017094017094017,0.0,65.0,63.0,2.0,0.9692307692307692,0.0,2.0,0.0266053999948781,0.0095702999969944,,,,,,,,,,,,,,,,
Random Forest,0.9944444444444444,1.0,0.984126984126984,0.992,0.9995929995929996,"[[117, 0], [1, 62]]",0.0,0.0158730158730158,62.0,62.0,0.0,1.0,0.0,2.0,0.6426305000059074,0.0444509999942965,,,,,,,,,,,,,,,,
Logistic Regression,0.9888888888888888,0.9692307692307692,1.0,0.984375,1.0,"[[115, 2], [0, 63]]",0.017094017094017,0.0,65.0,63.0,2.0,0.9692307692307692,0.0,2.0,0.0108372000104282,0.0005509000038728,,,,,,,,,,,,,,,,
Isolation Forest,0.9666666666666668,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9981006647673314,"[[114, 3], [3, 60]]",0.0256410256410256,0.0476190476190476,61.0,60.0,1.0,0.9836065573770492,0.0,2.0,0.3520225999964168,0.0176401999924564,,,,,,,,,,,,,,,,
Classical Autoencoder,0.8888888888888888,0.8307692307692308,0.8571428571428571,0.84375,0.962691629358296,"[[106, 11], [9, 54]]",0.094017094017094,0.1428571428571428,2.0,2.0,0.0,1.0,95.0,11.5,0.5677139000035822,0.0004157000075792,0.0966451542637249,,,,,,,,,,,,,,,
SVM-RBF PCA baseline,0.96,0.8888888888888888,1.0,0.9411764705882352,1.0,"[[16, 1], [0, 8]]",0.0588235294117647,0.0,9.0,8.0,1.0,0.8888888888888888,0.0,2.0,0.0029233999957796,0.0176405999955022,,4.0,,,,,,,,,,,,,,
QSVM-ZZ,0.6,0.3333333333333333,0.25,0.2857142857142857,0.7352941176470589,"[[13, 4], [6, 2]]",0.2352941176470588,0.75,7.0,3.0,4.0,0.4285714285714285,3.0,2.3,6.753010900007212,22.00337960000616,,4.0,19.0,4.0,12.0,,,,,,,,,,,
QSVM-PAULI,0.68,0.5,0.25,0.3333333333333333,0.6323529411764706,"[[15, 2], [6, 2]]",0.1176470588235294,0.75,4.0,2.0,2.0,0.5,3.0,2.3,8.30214359999809,27.4263828000112,,4.0,31.0,4.0,24.0,,,,,,,,,,,
VQC,0.6,0.4,0.5,0.4444444444444444,0.5735294117647058,"[[11, 6], [4, 4]]",0.3529411764705882,0.5,10.0,4.0,6.0,0.4,2.0,2.2,9.689623999991454,0.3418135999963851,0.7949875046441041,4.0,27.0,16.0,18.0,25.0,qiskit,,,,,,,,,
QAE interface (classical AE fallback),0.8888888888888888,0.8307692307692308,0.8571428571428571,0.84375,0.962691629358296,"[[106, 11], [9, 54]]",0.094017094017094,0.1428571428571428,2.0,2.0,0.0,1.0,95.0,11.5,0.576274300008663,0.0007788999937474,0.0966451542637249,,,,,,,TODO: substituir MLPRegressor por ansatz QAE quando runtime variacional estiver disponível.,,,,,,,,
VQE Hamiltonian Score,0.68,0.0,0.0,0.0,0.4117647058823529,"[[17, 0], [8, 0]]",0.0,1.0,9.0,1.0,8.0,0.1111111111111111,9.0,2.9,0.1653205000038724,0.126305500001763,,4.0,19.0,4.0,12.0,,,,,,,,,,,
QAOA MaxCut POC,,,,,,,,,,,,,,,2.061536499997601,,,5.0,,2.0,,,,,3.8136408073733423,-0.7714914366897843,qiskit_qaoa_statevector,,,,,
FALQON Drift POC,,,,0.9803921568627452,,,,,,,,,,,,,,,,,,,,,,,,0.9411764705882352,1.0,Placeholder funcional: adaptação por retreino incremental; TODO implementar controle FALQON completo.,,
NISQ noise benchmark,,,,0.7272727272727273,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,0.213903743315508,qiskit_aer_noise_model
