model,accuracy,precision,recall,f1,roc_auc,confusion_matrix,false_positive_rate,false_negative_rate,number_of_alerts,true_alerts,false_alerts,alert_precision,estimated_time_to_detection,mitigation_delay_simulated,training_time_seconds,inference_time_seconds,final_loss,n_qubits,circuit_depth,num_parameters,cx_count,optimizer_iterations,vqc_backend,qae_status,maxcut_value,qaoa_energy,qaoa_backend,min_window_f1,recovered_f1,falqon_status,f1_degradation_under_noise,simulator
SVM-RBF,0.9888888888888888,0.9692307692307692,1.0,0.984375,0.999457332790666,"[[115, 2], [0, 63]]",0.017094017094017,0.0,65.0,63.0,2.0,0.9692307692307692,0.0,2.0,0.0042212000116705,0.0012099000014131,,,,,,,,,,,,,,,,
Random Forest,0.9944444444444444,1.0,0.984126984126984,0.992,0.9995929995929996,"[[117, 0], [1, 62]]",0.0,0.0158730158730158,62.0,62.0,0.0,1.0,0.0,2.0,0.1228369000018574,0.0075899999937973,,,,,,,,,,,,,,,,
Logistic Regression,0.9888888888888888,0.9692307692307692,1.0,0.984375,1.0,"[[115, 2], [0, 63]]",0.017094017094017,0.0,65.0,63.0,2.0,0.9692307692307692,0.0,2.0,0.0047941999946488,0.0005422999965958,,,,,,,,,,,,,,,,
Isolation Forest,0.9666666666666668,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9981006647673314,"[[114, 3], [3, 60]]",0.0256410256410256,0.0476190476190476,61.0,60.0,1.0,0.9836065573770492,0.0,2.0,0.0611699000000953,0.0028684999997494,,,,,,,,,,,,,,,,
Classical Autoencoder,0.8888888888888888,0.8307692307692308,0.8571428571428571,0.84375,0.962691629358296,"[[106, 11], [9, 54]]",0.094017094017094,0.1428571428571428,2.0,2.0,0.0,1.0,95.0,11.5,0.0950666999997338,8.789999992586672e-05,0.0966451542637249,,,,,,,,,,,,,,,
SVM-RBF PCA baseline,0.96,0.8888888888888888,1.0,0.9411764705882352,1.0,"[[16, 1], [0, 8]]",0.0588235294117647,0.0,9.0,8.0,1.0,0.8888888888888888,0.0,2.0,0.0006215000030351,0.0035385999944992,,4.0,,,,,,,,,,,,,,
QSVM-ZZ,0.6,0.3333333333333333,0.25,0.2857142857142857,0.7352941176470589,"[[13, 4], [6, 2]]",0.2352941176470588,0.75,7.0,3.0,4.0,0.4285714285714285,3.0,2.3,1.253668800010928,4.375729000006686,,4.0,19.0,4.0,12.0,,,,,,,,,,,
QSVM-PAULI,0.68,0.5,0.25,0.3333333333333333,0.6323529411764706,"[[15, 2], [6, 2]]",0.1176470588235294,0.75,4.0,2.0,2.0,0.5,3.0,2.3,1.607034399989061,5.60261509999691,,4.0,31.0,4.0,24.0,,,,,,,,,,,
VQC,0.36,0.2142857142857142,0.375,0.2727272727272727,0.3639705882352941,"[[6, 11], [5, 3]]",0.6470588235294118,0.625,14.0,3.0,11.0,0.2142857142857142,2.0,2.2,1.703205900004832,0.0533494999981485,0.7946741151785186,4.0,27.0,16.0,18.0,25.0,qiskit,,,,,,,,,
QAE interface (classical AE fallback),0.8888888888888888,0.8307692307692308,0.8571428571428571,0.84375,0.962691629358296,"[[106, 11], [9, 54]]",0.094017094017094,0.1428571428571428,2.0,2.0,0.0,1.0,95.0,11.5,0.0992461999994702,8.700000762473792e-05,0.0966451542637249,,,,,,,TODO: substituir MLPRegressor por ansatz QAE quando runtime variacional estiver disponível.,,,,,,,,
VQE Hamiltonian Score,0.68,0.0,0.0,0.0,0.4117647058823529,"[[17, 0], [8, 0]]",0.0,1.0,9.0,1.0,8.0,0.1111111111111111,9.0,2.9,0.031574399996316,0.0247734000004129,,4.0,19.0,4.0,12.0,,,,,,,,,,,
QAOA MaxCut POC,,,,,,,,,,,,,,,0.4518243999918923,,,5.0,,2.0,,,,,3.8136408073733423,-0.7340694363177743,qiskit_qaoa_statevector,,,,,
FALQON Drift POC,,,,0.9803921568627452,,,,,,,,,,,,,,,,,,,,,,,,0.9411764705882352,1.0,Placeholder funcional: adaptação por retreino incremental; TODO implementar controle FALQON completo.,,
NISQ noise benchmark,,,,0.7272727272727273,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,0.213903743315508,qiskit_aer_noise_model
